1,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,22,1996,6,1,157,1.7,1,0,1,0,0,1,0,15,19.5,1,0
2,David Abraham,ng NGA,DF,Union Berlin,22,1996,20,19,1688,18.8,2,0,2,0,0,2,1,175,198.3,2,0
3,Amir Abrashi,ng NGA,MF,Union Berlin,22,1996,13,8,663,7.4,0,0,0,0,0,3,0,96,89.6,0,0
4,Tyler Adams,ng NGA,MFDF,Union Berlin,22,1996,14,10,953,10.6,0,0,0,0,0,0,0,111,124.6,0,0
5,Sargis Adamyan,ng NGA,FWMF,Union Berlin,22,1996,15,6,746,8.3,5,1,6,0,0,1,0,81,91.5,5,0
6,Manuel Akanji,ng NGA,DF,Union Berlin,22,1996,29,25,2309,25.7,0,1,1,0,0,2,0,194,251.8,0,0
7,Kevin Akpoguma,ng NGA,DF,Union Berlin,22,1996,18,12,1142,12.7,0,0,0,0,0,2,0,121,130.5,0,0
8,David Alaba,ng NGA,DF,Union Berlin,22,1996,28,27,2498,27.8,1,1,2,0,0,0,0,153,282.1,1,91.44
9,Lucas Alario,ng NGA,FW,Union Berlin,22,1996,24,11,1174,13.0,7,1,8,1,1,6,0,149,137.6,7,0
10,Paco Alcácer,ng NGA,FW,Union Berlin,22,1996,11,6,530,5.9,5,1,6,0,0,0,0,0,0,0,0
11,Thiago Alcántara,ng NGA,MF,Union Berlin,22,1996,24,20,1771,19.7,3,0,3,0,0,7,0,0,0,0,0
12,Nadiem Amiri,ng NGA,MFFW,Union Berlin,22,1996,30,22,1857,20.6,1,2,3,0,0,3,0,192,242.2,1,86.27
13,Ethan Ampadu,ng NGA,DF,Union Berlin,22,1996,3,0,81,0.9,0,0,0,0,0,0,0,9,9.8,0,0
14,Opoku Ampomah,ng NGA,FWMF,Union Berlin,22,1996,12,5,500,5.6,0,0,0,0,0,1,0,0,0,0,0
15,Sebastian Andersson,ng NGA,FW,Union Berlin,22,1996,33,31,2682,29.8,12,1,13,1,2,5,0,0,331.1,0,69.37
16,Robert Andrich,ng NGA,MF,Union Berlin,22,1996,30,30,2572,28.6,1,2,3,0,0,13,1,326,336.7,1,77.22
17,Angeliño,ng NGA,DFFW,Union Berlin,22,1996,13,12,1095,12.2,1,2,3,0,0,2,0,0,0,0,0
18,Christopher Antwi-Adjei,ng NGA,MFFW,Union Berlin,22,1996,34,28,2470,27.4,1,2,3,0,0,2,0,257,295.4,1,77.72
19,Charles Aránguiz,ng NGA,MF,Union Berlin,22,1996,27,23,2118,23.5,1,3,4,0,0,2,0,276,282.8,1,87.73
20,Maximilian Arnold,ng NGA,MF,Union Berlin,22,1996,33,32,2821,31.3,4,8,12,0,0,8,0,294,365.5,4,83.62
21,Santiago Ascacíbar,ng NGA,MF,Union Berlin,22,1996,8,7,634,7.0,0,1,1,0,0,2,0,102,87.6,0,0
22,Ludwig Augustinsson,ng NGA,DFMF,Union Berlin,22,1996,12,10,924,10.3,0,1,1,0,0,2,0,135,121.3,0,0
23,Taiwo Awoniyi,ng NGA,FWMF,Union Berlin,22,1996,12,5,483,5.4,1,0,1,0,0,1,0,54,55.5,1,0
24,Kaan Ayhan,ng NGA,DF,Union Berlin,22,1996,31,31,2731,30.3,2,3,5,0,0,10,0,223,299.8,2,86.34
25,Matthias Bader,ng NGA,DF,Union Berlin,22,1996,1,0,12,0.1,0,0,0,0,0,0,0,4,1.5,0,0
