1,Brenden Aaronson,us USA,MFFW,Union Berlin,23-197,2000,28,12,1135,12.6,2,1,3,0,0,3,1,178,168.6,2,0
2,Paxten Aaronson,us USA,MF,Union Berlin,23-197,2000,7,1,101,1.1,0,1,1,0,0,0,0,18,17.9,0,0
3,Junior Adamu,us USA,FWMF,Union Berlin,23-197,2000,15,0,105,1.2,0,0,0,0,0,0,0,12,20.4,0,0
4,Sargis Adamyan,us USA,FWMF,Union Berlin,23-197,2000,19,7,756,8.4,1,2,3,0,0,2,0,95,96.9,1,0
5,Karim Adeyemi,us USA,FWMF,Union Berlin,23-197,2000,20,9,853,9.5,3,1,4,0,0,6,1,110,111.9,3,0
6,Amine Adli,us USA,MFFW,Union Berlin,23-197,2000,21,7,814,9.0,3,5,8,0,0,5,0,105,108.8,3,0
7,Felix Agu,us USA,DFMF,Union Berlin,23-197,2000,22,17,1463,16.3,0,0,0,0,0,2,0,153,174.4,0,0
8,Ludovic Ajorque,us USA,FW,Union Berlin,23-197,2000,25,15,1342,14.9,2,0,2,0,2,4,0,188,165.2,2,0
9,Kevin Akpoguma,us USA,DF,Union Berlin,23-197,2000,15,9,917,10.2,0,0,0,0,0,7,0,116,111.6,0,0
10,Faride Alidou,us USA,FWMF,Union Berlin,23-197,2000,24,12,1163,12.9,4,0,4,0,0,4,0,134,146.2,4,0
11,Skelly Alvero,us USA,MF,Union Berlin,23-197,2000,6,1,123,1.4,1,0,1,0,0,1,0,27,18.5,1,0
12,Nadiem Amiri,us USA,MF,Union Berlin,23-197,2000,13,13,1136,12.6,1,3,4,0,1,5,0,144,154.7,1,0
13,Nadiem Amiri,us USA,MF,Union Berlin,23-197,2000,8,1,86,1.0,0,0,0,0,0,0,0,144,154.7,1,0
14,Kofi Amoako,us USA,MF,Union Berlin,23-197,2000,2,0,2,0.0,0,0,0,0,0,0,0,0,0.5,0,0
15,Robert Andrich,us USA,MFDF,Union Berlin,23-197,2000,26,16,1510,16.8,3,2,5,0,0,4,0,144,199.2,3,0
16,Waldemar Anton,us USA,DF,Union Berlin,23-197,2000,31,30,2706,30.1,0,3,3,0,0,6,0,263,334.6,0,90.24
17,Christopher Antwi-Adjei,us USA,FWMF,Union Berlin,23-197,2000,24,11,1202,13.4,1,2,3,0,0,5,0,107,143.9,1,0
