1,David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,14,14,1222,13.6,1,0,1,0,0,5,1,119,159.4,1,87.81
2,Amir Abrashi,ar ARG,MFDF,Eint Frankfurt,34,1986,5,0,60,0.7,0,0,0,0,0,0,0,10,9.4,0,0
3,Ragnar Ache,ar ARG,FWDF,Eint Frankfurt,34,1986,7,0,100,1.1,1,0,1,0,0,1,0,21,15.2,1,0
4,Tyler Adams,ar ARG,MFDF,Eint Frankfurt,34,1986,27,21,1850,20.6,1,1,2,0,0,3,0,197,246.4,1,0
5,Sargis Adamyan,ar ARG,FWMF,Eint Frankfurt,34,1986,18,3,479,5.3,2,3,5,0,0,2,0,65,56.1,2,0
6,Felix Agu,ar ARG,DF,Eint Frankfurt,34,1986,15,8,701,7.8,1,0,1,0,0,0,0,113,97.1,1,0
7,Naouirou Ahamada,ar ARG,MF,Eint Frankfurt,34,1986,6,3,252,2.8,0,0,0,0,0,2,1,43,32.1,0,0
8,Manuel Akanji,ar ARG,DF,Eint Frankfurt,34,1986,28,26,2350,26.1,2,0,2,0,0,4,0,220,74.2,2,0
9,Kevin Akpoguma,ar ARG,DF,Eint Frankfurt,34,1986,16,14,1184,13.2,1,0,1,0,0,1,0,134,144.7,1,0
10,David Alaba,ar ARG,DFMF,Eint Frankfurt,34,1986,32,30,2675,29.7,2,4,6,0,0,4,0,224,298,2,87.65
11,Lucas Alario,ar ARG,FW,Eint Frankfurt,34,1986,25,12,1245,13.8,11,2,13,2,2,2,0,128,162.8,0,0
12,Omar Alderete,ar ARG,DF,Eint Frankfurt,34,1986,17,14,1299,14.4,0,0,0,0,0,2,0,149,129.7,0,0
13,Nadiem Amiri,ar ARG,MF,Eint Frankfurt,34,1986,29,20,1890,21.0,2,6,8,0,0,5,0,170,269.3,2,0
14,Sebastian Andersson,ar ARG,FW,Eint Frankfurt,34,1986,16,14,1126,12.5,3,0,3,1,1,1,0,157,123.5,3,0
15,Robert Andrich,ar ARG,MF,Eint Frankfurt,34,1986,29,29,2526,28.1,5,2,7,0,0,5,1,339,324.6,5,82.25
16,Angeliño,ar ARG,DFFW,Eint Frankfurt,34,1986,26,24,2161,24.0,4,4,8,0,0,2,0,0,0,0,0
17,Waldemar Anton,ar ARG,DF,Eint Frankfurt,34,1986,31,30,2711,30.1,0,1,1,0,0,3,0,289,325.5,0,89.85
18,Charles Aránguiz,ar ARG,MF,Eint Frankfurt,34,1986,21,20,1669,18.5,0,0,0,0,0,4,0,193,229,0,0
19,Santiago Arias,ar ARG,DF,Eint Frankfurt,34,1986,1,1,90,1.0,0,0,0,0,0,0,0,12,11.5,0,0
20,Maximilian Arnold,ar ARG,MF,Eint Frankfurt,34,1986,30,30,2585,28.7,3,6,9,0,0,7,1,309,355.1,3,87.43
21,Tolu Arokodare,ar ARG,FWMF,Eint Frankfurt,34,1986,10,0,112,1.2,0,0,0,0,0,0,0,23,14.5,0,0
22,Santiago Ascacíbar,ar ARG,MF,Eint Frankfurt,34,1986,13,8,762,8.5,1,0,1,0,0,2,0,107,106.5,1,0
23,Ludwig Augustinsson,ar ARG,DFFW,Eint Frankfurt,34,1986,23,21,1957,21.7,0,4,4,0,0,4,0,213,259.1,0,0
24,Taiwo Awoniyi,ar ARG,FW,Eint Frankfurt,34,1986,21,16,1359,15.1,5,2,7,0,0,0,0,177,150.8,5,0
25,Mehmet Aydin,ar ARG,DF,Eint Frankfurt,34,1986,6,6,500,5.6,0,0,0,0,0,0,0,0,0,0,0
26,Leon Bailey,ar ARG,FWMF,Eint Frankfurt,34,1986,30,25,2141,23.8,9,8,17,0,0,6,0,298,275.7,0,78.75
27,Ridle Baku,ar ARG,FWDF,Eint Frankfurt,34,1986,32,31,2678,29.8,6,7,13,0,0,1,0,338,340.9,6,76.52
28,Ridle Baku,ar ARG,DF,Eint Frankfurt,34,1986,2,2,180,2.0,0,0,0,0,0,0,0,338,340.9,6,76.52
29,Philipp Bargfrede,ar ARG,MF,Eint Frankfurt,34,1986,1,0,27,0.3,0,0,0,0,0,0,0,3,3.4,0,0
30,Aymen Barkok,ar ARG,MFDF,Eint Frankfurt,34,1986,26,9,977,10.9,2,3,5,0,0,5,0,143,142.8,2,0
31,Leandro Barreiro Martins,ar ARG,MF,Eint Frankfurt,34,1986,29,27,2303,25.6,2,2,4,0,0,5,0,289,349.9,2,72.28
32,Jacob Barrett Laursen,ar ARG,DF,Eint Frankfurt,34,1986,16,13,1108,12.3,0,1,1,0,0,1,0,0,0,0,0
33,Oliver Baumann,ar ARG,GK,Eint Frankfurt,34,1986,31,31,2790,31.0,0,0,0,0,0,1,0,0,163.2,0,0
34,Julian Baumgartlinger,ar ARG,MF,Eint Frankfurt,34,1986,17,12,1072,11.9,2,0,2,0,0,1,0,137,149,2,0
35,Christoph Baumgartner,ar ARG,MFFW,Eint Frankfurt,34,1986,31,28,2369,26.3,6,3,9,0,0,6,0,366,301.1,6,81.17
36,Noah Joel Sarenren Bazee,ar ARG,FWMF,Eint Frankfurt,34,1986,5,0,36,0.4,0,1,1,0,0,1,0,0,0,0,0
37,Ihlas Bebou,ar ARG,FWMF,Eint Frankfurt,34,1986,32,23,2200,24.4,9,7,16,0,0,3,0,321,288.9,0,81.28
38,Sheraldo Becker,ar ARG,FWMF,Eint Frankfurt,34,1986,18,15,1106,12.3,3,3,6,0,0,2,0,89,135.6,3,0
39,Timo Becker,ar ARG,DF,Eint Frankfurt,34,1986,20,18,1640,18.2,0,0,0,0,0,1,0,175,200.4,0,0
40,Brian Behrendt,ar ARG,DF,Eint Frankfurt,34,1986,3,0,79,0.9,0,0,0,0,0,0,0,8,2.4,0,0
41,Maximilian Beier,ar ARG,FWDF,Eint Frankfurt,34,1986,3,0,10,0.1,0,0,0,0,0,0,0,1,2.6,0,0
42,Ishak Belfodil,ar ARG,FWMF,Eint Frankfurt,34,1986,14,7,596,6.6,0,1,1,0,0,0,0,51,68.8,0,0
43,Stefan Bell,ar ARG,DF,Eint Frankfurt,34,1986,16,16,1266,14.1,1,1,2,0,0,6,0,175,158,1,0
44,Karim Bellarabi,ar ARG,FWMF,Eint Frankfurt,34,1986,22,7,798,8.9,0,0,0,0,0,2,0,103,102.8,0,0
45,Jude Bellingham,ar ARG,MF,Eint Frankfurt,34,1986,29,19,1697,18.9,1,3,4,0,0,6,1,280,71.4,1,0
46,Lars Bender,ar ARG,DF,Eint Frankfurt,34,1986,14,12,936,10.4,1,2,3,1,1,2,0,111,121.7,1,0
47,Sven Bender,ar ARG,DF,Eint Frankfurt,34,1986,18,14,1170,13.0,0,0,0,0,0,1,0,121,147.1,0,0
48,László Bénes,ar ARG,MF,Eint Frankfurt,34,1986,12,9,660,7.3,1,1,2,0,0,3,0,81,108,1,0
49,László Bénes,ar ARG,MF,Eint Frankfurt,34,1986,7,1,150,1.7,0,1,1,0,0,0,0,81,108,1,0
50,Ramy Bensebaini,ar ARG,DF,Eint Frankfurt,34,1986,25,20,1811,20.1,4,0,4,1,1,7,0,270,212,4,0
51,Nabil Bentaleb,ar ARG,MF,Eint Frankfurt,34,1986,9,6,548,6.1,0,0,0,0,1,2,0,64,68.1,0,0
52,Jordan Beyer,ar ARG,DF,Eint Frankfurt,34,1986,4,2,188,2.1,0,0,0,0,0,0,0,24,23.2,0,0
53,Bartosz Białek,ar ARG,FWMF,Eint Frankfurt,34,1986,19,1,270,3.0,2,0,2,0,0,1,0,0,0,0,0
54,Ermin Bičakčić,ar ARG,DF,Eint Frankfurt,34,1986,2,2,128,1.4,1,0,1,0,0,1,0,13,15.8,1,0
55,Leonardo Bittencourt,ar ARG,MFFW,Eint Frankfurt,34,1986,27,19,1514,16.8,4,1,5,1,1,3,0,222,204.1,4,0
56,Jérôme Boateng,ar ARG,DF,Eint Frankfurt,34,1986,29,29,2368,26.3,1,1,2,0,0,6,0,176,260.5,1,0
57,Jean-Paul Boëtius,ar ARG,MFFW,Eint Frankfurt,34,1986,31,23,2065,22.9,2,4,6,0,0,5,0,223,296.2,2,74.22
58,Melayro Bogarde,ar ARG,DFMF,Eint Frankfurt,34,1986,9,2,277,3.1,0,1,1,0,0,1,0,36,33.7,0,0
59,Elias Bördner,ar ARG,GK,Eint Frankfurt,34,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,5.6,0,0
60,Dennis Borkowski,ar ARG,MFFW,Eint Frankfurt,34,1986,2,0,11,0.1,0,0,0,0,0,0,0,2,2.2,0,0
61,Sebastiaan Bornauw,ar ARG,DF,Eint Frankfurt,34,1986,24,23,2083,23.1,1,1,2,0,0,3,0,194,208.1,1,85.98
62,Nassim Boujellab,ar ARG,MFFW,Eint Frankfurt,34,1986,12,6,605,6.7,1,0,1,0,0,2,0,71,93.4,1,0
63,Dedryck Boyata,ar ARG,DF,Eint Frankfurt,34,1986,19,17,1545,17.2,1,0,1,0,0,3,0,101,156.6,1,0
64,Can Bozdogan,ar ARG,MFFW,Eint Frankfurt,34,1986,14,5,651,7.2,0,2,2,0,0,0,0,80,82.5,0,0
65,Julian Brandt,ar ARG,FWMF,Eint Frankfurt,34,1986,31,17,1495,16.6,3,2,5,0,0,0,0,162,32.5,3,0
66,Fabian Bredlow,ar ARG,GK,Eint Frankfurt,34,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,6.1,0,0
67,Josip Brekalo,ar ARG,FW,Eint Frankfurt,34,1986,29,22,1814,20.2,7,3,10,0,0,1,0,178,265.2,7,0
68,Joshua Brenet,ar ARG,DF,Eint Frankfurt,34,1986,1,0,1,0.0,0,0,0,0,0,0,0,1,0.2,0,0
69,John Brooks,ar ARG,DF,Eint Frankfurt,34,1986,32,31,2774,30.8,2,0,2,0,0,5,0,0,0,0,0
70,Daniel Brosinski,ar ARG,DFFW,Eint Frankfurt,34,1986,21,16,1430,15.9,2,1,3,2,2,0,0,93,201.3,2,0
71,Cédric Brunner,ar ARG,DF,Eint Frankfurt,34,1986,31,30,2655,29.5,0,1,1,0,0,6,0,295,348.5,0,78.85
72,Jacob Bruun Larsen,ar ARG,MFFW,Eint Frankfurt,34,1986,2,1,89,1.0,0,0,0,0,0,0,0,2,14.6,0,0
73,Marius Bülter,ar ARG,FWMF,Eint Frankfurt,34,1986,26,8,977,10.9,1,0,1,0,0,1,0,131,131.6,1,0
