40,Kevin Behrens,ng NGA,FW,Greuther Fürth,22,1998,24,2,499,5.5,2,2,4,0,0,1,0,97,73.5,2,0
41,Ishak Belfodil,ng NGA,FW,Greuther Fürth,22,1998,26,17,1636,18.2,5,2,7,1,1,1,0,177,182.5,5,0
42,Stefan Bell,ng NGA,DF,Greuther Fürth,22,1998,33,33,2864,31.8,2,0,2,0,0,9,0,301,327,2,0
43,Armel Bella Kotchap,ng NGA,DF,Greuther Fürth,22,1998,22,20,1768,19.6,0,0,0,0,0,5,0,177,195.3,0,0
44,Karim Bellarabi,ng NGA,FWMF,Greuther Fürth,22,1998,16,9,683,7.6,3,2,5,0,0,2,0,68,84.5,3,0
45,Jude Bellingham,ng NGA,MF,Greuther Fürth,22,1998,32,32,2790,31.0,3,8,11,0,0,9,0,0,333.8,3,0
46,George Bello,ng NGA,DF,Greuther Fürth,22,1998,10,3,434,4.8,0,0,0,0,0,0,0,52,52,0,0
47,László Bénes,ng NGA,MF,Greuther Fürth,22,1998,13,2,246,2.7,0,0,0,0,0,0,0,31,34.8,0,0
48,Keanan Bennetts,ng NGA,FWDF,Greuther Fürth,22,1998,4,0,50,0.6,0,0,0,0,0,1,0,7,7.9,0,0
49,Ramy Bensebaini,ng NGA,DF,Greuther Fürth,22,1998,23,22,2020,22.4,4,1,5,2,2,6,0,283,222.7,4,0
50,Jordan Beyer,ng NGA,DF,Greuther Fürth,22,1998,17,15,1384,15.4,0,0,0,0,0,5,0,163,157.6,0,0
51,Bartosz Białek,ng NGA,FWDF,Greuther Fürth,22,1998,12,1,178,2.0,0,0,0,0,0,1,0,0,0,0,0
52,Ermin Bičakčić,ng NGA,DF,Greuther Fürth,22,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.5,0,0
53,Tom Bischof,ng NGA,MF,Greuther Fürth,22,1998,1,0,14,0.2,0,0,0,0,0,0,0,1,1.9,0,0
54,Danny Blum,ng NGA,FW,Greuther Fürth,22,1998,13,2,346,3.8,2,0,2,0,0,0,0,31,42.4,2,0
55,Kevin-Prince Boateng,ng NGA,MFFW,Greuther Fürth,22,1998,18,8,696,7.7,0,0,0,0,0,8,0,96,82.9,0,0
56,Herbert Bockhorn,ng NGA,DF,Greuther Fürth,22,1998,18,7,850,9.4,0,0,0,0,0,1,0,112,99.1,0,0
57,Jean-Paul Boëtius,ng NGA,MF,Greuther Fürth,22,1998,33,19,1800,20.0,2,2,4,0,0,3,0,236,234.2,2,0
58,Tarsis Bonga,ng NGA,MFFW,Greuther Fürth,22,1998,3,0,17,0.2,0,0,0,0,0,0,0,6,3.1,0,0
59,Solomon Bonnah,ng NGA,DF,Greuther Fürth,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,2,1.1,0,0
60,Sebastiaan Bornauw,ng NGA,DF,Greuther Fürth,22,1998,27,23,2007,22.3,1,0,1,0,0,4,0,224,207.2,1,0
